,Dist Name,prec_grow_av,prec_harvest_av,et_grow_av,et_harvest_av,maxT_grow_av,maxT_harvest_av,minT_grow_av,minT_harvest_av,windspeed_grow_av,windspeed_harvest_av,runoff_grow_av,runoff_harvest_av,KM5_clusterN_(maxT_growth_maxT_harvest)
2375,Ahmednagar,110.2837894736842,10.213421052631576,89.08726315789474,18.58789473684211,30.609894736842104,30.067894736842103,21.27778947368421,14.206052631578949,2.106621052631579,1.0404736842105264,16.04652631578947,0.5105263157894736,1
2394,Pune,199.25200000000004,10.785,90.332,27.494473684210533,28.996947368421054,29.62657894736842,20.974631578947367,14.166842105263159,2.1095052631578946,1.027842105263158,99.37252631578947,0.5371052631578948,0
2413,Satara,179.02705263157893,14.068947368421053,89.48168421052631,30.55026315789474,27.787894736842105,28.881315789473685,20.57357894736842,15.249210526315792,2.186242105263158,1.1955526315789478,79.66526315789474,0.7005263157894737,1
2432,Sangli,144.45789473684212,15.08763157894737,104.96494736842108,26.51421052631579,29.252,30.03263157894737,21.01305263157895,16.040789473684214,2.2725684210526316,1.3759210526315793,32.93326315789474,0.7555263157894738,1
2451,Solapur,125.38315789473683,11.536578947368422,105.3638947368421,20.747631578947374,31.715578947368428,31.17473684210526,21.78284210526316,16.00157894736842,2.1497894736842103,1.1903684210526315,14.571894736842108,0.5739473684210527,1
2470,Kolhapur,379.5910526315789,19.404473684210526,100.87178947368423,58.12105263157895,26.812947368421057,29.02657894736842,20.064421052631577,15.637105263157896,2.344315789473684,1.446184210526316,255.80178947368424,0.9684210526315788,3
2489,Parbhani,164.7738947368421,8.377368421052632,117.24631578947367,32.34710526315791,32.219789473684216,30.559210526315795,22.406421052631572,14.625263157894734,2.0766105263157892,1.0197368421052633,34.013263157894734,0.41631578947368425,1
2508,Beed,139.68168421052636,10.09578947368421,109.33673684210527,26.0671052631579,31.21926315789474,30.039473684210527,21.271052631578954,14.453947368421053,2.109421052631579,1.0178947368421054,21.300631578947367,0.5052631578947366,1
2527,Nanded,190.8153684210526,8.687631578947366,123.81557894736842,43.97710526315789,32.004210526315795,29.938421052631575,22.89347368421053,15.314736842105262,2.118136842105263,1.0566842105263157,46.602105263157895,0.4315789473684211,1
2546,Osmanabad,150.11263157894737,11.336578947368418,114.86631578947372,26.353421052631575,30.952421052631575,30.07894736842105,20.952526315789477,15.191315789473684,2.124694736842105,1.101,26.86094736842105,0.5642105263157896,1
2565,Buldhana,134.3296923076923,8.162692307692309,106.11738461538461,27.286923076923078,31.323076923076925,29.753076923076925,22.557999999999996,15.088461538461537,2.4334769230769235,1.2179615384615383,16.84630769230769,0.4065384615384616,1
2578,Akola,143.18977777777778,7.811666666666666,107.4351111111111,33.62444444444445,32.32888888888888,30.457222222222228,23.396888888888892,15.13722222222222,2.4938000000000002,1.2285555555555556,19.99977777777778,0.3861111111111111,1
2587,Amarawati,176.6808421052632,6.480263157894736,109.13484210526315,36.35078947368421,31.370631578947364,29.273421052631587,22.7778947368421,14.586315789473684,2.227368421052631,1.0672105263157892,48.68557894736841,0.3213157894736842,1
2606,Yeotmal,196.6426315789474,5.466315789473685,121.678,36.58578947368421,32.181999999999995,29.62210526315789,23.341368421052636,15.310526315789472,2.1564421052631575,1.021157894736842,56.08273684210527,0.27052631578947367,1
2625,Wardha,199.02155555555558,6.363055555555555,118.35122222222223,40.381666666666675,32.224555555555554,29.24888888888889,23.513444444444442,14.933333333333334,2.1612111111111116,1.0115555555555558,60.04299999999999,0.31416666666666665,0
2643,Nagpur,211.28810526315792,6.422105263157895,116.70642105263158,48.776315789473685,31.93463157894737,28.90526315789474,23.35915789473684,14.155263157894739,2.0326736842105264,0.970921052631579,59.012,0.3186842105263158,0
2662,Bhandara,254.0222105263158,4.7231578947368416,115.57336842105262,50.40526315789473,31.923473684210524,28.7628947368421,23.823684210526316,14.149473684210525,1.8931157894736843,0.8817631578947366,91.49094736842108,0.23342105263157897,0
2681,Chandrapur,241.25178947368423,3.619473684210527,120.42431578947371,50.841842105263154,32.25536842105262,29.4571052631579,23.983684210526317,14.330263157894732,2.000494736842105,0.8965,76.12568421052633,0.17815789473684215,0
