Dist Code,Year,Dist Name,State Name,RICE AREA (1000 ha),RICE YIELD (kg per ha),nitrogen,phosphate,potash,prec_grow,prec_harvest,et_grow,et_harvest,maxT_grow,maxT_harvest,minT_grow,minT_harvest,runoff_grow,runoff_harvest,windspeed_grow,windspeed_harvest
524,2005,Kaithal,Haryana,150.6,3167.0,10631.716780287474,2554.9429158110884,481.969478439425,82.898,0.385,75.56,4.095000000000001,34.65599999999999,24.665,24.162,8.54,4.144,0.0,1.132,0.5275
524,2006,Kaithal,Haryana,150.6,3141.0,9662.731022587268,2117.7637946611912,181.68482956878847,112.646,6.3149999999999995,99.454,14.530000000000001,33.998000000000005,24.85,24.218,10.33,7.761999999999999,0.31000000000000005,1.1462,0.5429999999999999
524,2007,Kaithal,Haryana,152.1,3373.0,11088.033782340863,2322.988632443532,266.9589240246407,69.776,2.835,66.77,3.06,34.678000000000004,25.380000000000003,24.244,8.905,3.4859999999999998,0.155,1.1186,0.4465
524,2008,Kaithal,Haryana,156.3,2502.0,11375.225149897331,3187.865273100616,543.4233264887064,100.91399999999999,2.92,87.394,9.035,33.94,26.61,24.127999999999997,9.59,8.6,0.155,1.0732,0.44399999999999995
524,2009,Kaithal,Haryana,158.3,2919.0,11453.144772073922,2741.274924024641,581.542841889117,68.878,5.300000000000001,65.83000000000001,5.4350000000000005,34.95399999999999,25.0,24.384000000000004,9.68,3.4479999999999995,0.28,1.1738000000000002,0.40700000000000003
524,2010,Kaithal,Haryana,158.7,2747.0,11083.216952772073,3134.4390554414776,493.2669733059548,115.88999999999999,10.434999999999999,92.912,17.12,34.017999999999994,25.43,24.518,8.905,17.526000000000003,0.525,1.0453999999999999,0.2825
524,2011,Kaithal,Haryana,158.9,2901.0,12198.782365503082,4168.100353182751,372.08050102669404,112.648,2.4349999999999996,96.444,9.455,33.904,26.555,24.366,9.98,11.634,0.12000000000000001,1.135,0.305
524,2012,Kaithal,Haryana,162.46,3152.0,13521.46240164271,3977.0208,238.86623901437372,117.572,5.075,77.41199999999999,12.6,34.501999999999995,24.29,24.701999999999998,9.715,35.254000000000005,0.27,1.2049999999999998,0.3925
524,2013,Kaithal,Haryana,158.0,3291.0,12456.642135523614,1199.9305133470225,74.12698151950718,103.80199999999999,4.345,96.098,7.445,34.07,24.79,24.75,9.57,5.518,0.22,1.0522,0.443
524,2014,Kaithal,Haryana,161.0,3230.0,13809.317125256674,2605.26431211499,283.92862422997945,78.458,4.295,69.228,10.32,34.926,24.395,24.764,9.37,4.952,0.22,1.1736,0.46699999999999997
524,2015,Kaithal,Haryana,161.9,3027.0,13429.415507186859,2514.709256673511,229.22646406570843,84.59,0.8600000000000001,79.55,2.465,33.96,25.08,24.764,10.46,4.226,0.04,1.1282,0.4345
525,1990,Panipat,Haryana,76.8,2552.0,4497.483696098563,1135.6307186858314,157.95883367556468,141.452,15.735,98.608,22.57,33.858,24.98,23.869999999999997,9.620000000000001,37.68,0.785,1.3274000000000001,0.638
525,1991,Panipat,Haryana,50.0,2280.0,3661.5277207392196,1120.952772073922,82.31211498973306,83.164,16.24,70.318,20.925,34.646,24.395,23.792,9.36,9.174000000000001,0.815,1.3649999999999998,0.5515
525,1992,Panipat,Haryana,57.2,2255.0,4075.214587268994,1171.4325092402464,41.69140041067762,88.07000000000001,10.725,78.63399999999999,17.05,33.87,24.91,23.695999999999998,9.895,4.998,0.525,1.2562,0.452
525,1993,Panipat,Haryana,60.6,2343.0,3604.6422997946615,893.545133470226,0.0,121.30199999999999,0.1,101.35199999999999,7.765,34.112,26.03,24.206,9.59,14.968,0.0,1.4094,0.6855
525,1994,Panipat,Haryana,62.6,2332.0,8895.488279260782,1946.240427104723,75.7832772073922,127.06199999999998,1.445,85.886,6.9,33.722,25.095,23.976,10.135,37.538000000000004,0.06,1.484,0.654
525,1995,Panipat,Haryana,64.0,2031.0,4188.375523613963,750.1167967145791,7.238439425051335,140.66,1.4,90.082,9.05,34.466,24.490000000000002,24.65,10.100000000000001,46.343999999999994,0.055,1.6591999999999998,1.076
525,1996,Panipat,Haryana,64.8,2531.0,4238.558685831622,774.693979466119,4.614505133470226,135.948,0.0,109.95,14.08,33.65,24.875,24.232,8.25,17.961999999999996,0.0,1.4756,0.5765
525,1997,Panipat,Haryana,69.2,2442.0,4420.268648870637,1269.062636550308,4.348090349075975,109.61399999999999,19.375,96.326,27.595,33.286,21.205,23.134,9.785,6.4319999999999995,0.9750000000000001,1.1865999999999999,0.45099999999999996
525,1998,Panipat,Haryana,72.0,2139.0,3890.0579876796714,1109.5924435318275,21.715318275154004,139.152,5.92,108.71199999999999,28.18,33.89,25.17,24.651999999999997,9.459999999999999,17.07,0.295,1.1424,0.397
525,1999,Panipat,Haryana,70.7,2037.0,4633.361519507187,1197.9512525667353,11.550086242299795,81.55600000000001,0.505,78.50399999999999,1.0,34.465999999999994,26.340000000000003,24.407999999999998,10.05,4.075999999999999,0.025,1.1716000000000002,0.5125
525,2000,Panipat,Haryana,77.4,2416.0,6099.908303901437,1400.962250513347,32.422176591375774,89.71000000000001,1.88,80.176,5.675,34.374,26.14,24.162,10.26,6.064,0.095,1.2078,0.5900000000000001
525,2001,Panipat,Haryana,71.9,2323.0,6985.632739219713,1618.8572895277212,17.16741683778234,81.384,0.55,76.85,1.7149999999999999,34.066,25.115000000000002,24.6,11.219999999999999,4.07,0.035,1.0976000000000001,0.40249999999999997
525,2002,Panipat,Haryana,64.0,2516.0,6341.945297741273,1490.5823408624233,20.642956878850104,72.688,7.365,63.077999999999996,14.035,34.052,25.155,24.943999999999996,11.254999999999999,4.338,0.355,1.1945999999999999,0.35850000000000004
525,2003,Panipat,Haryana,72.3,2268.0,7543.897798767966,1667.5378891170433,64.50882135523614,152.624,15.55,102.328,24.285,34.11999999999999,24.345,24.268,9.4,44.306,0.76,0.9952,0.3745
525,2004,Panipat,Haryana,72.28,2269.0,7521.827847227927,1875.6882628336757,64.1882020533881,76.076,1.455,65.938,12.295,34.05400000000001,26.285,24.006,9.84,3.96,0.07,1.0984000000000003,0.3855
525,2005,Panipat,Haryana,70.7,2560.0,7585.741256673511,1906.0603860369613,202.57074332648872,103.532,0.305,90.79799999999999,7.68,34.41799999999999,24.52,24.648000000000003,9.425,7.964,0.0,1.1526,0.4845
525,2006,Panipat,Haryana,70.8,2740.0,6149.778135523615,1438.0919260780288,45.672542094455856,122.60800000000002,6.085,102.31200000000001,15.73,33.766000000000005,24.7,24.715999999999998,11.204999999999998,14.229999999999999,0.29000000000000004,1.156,0.4615
525,2007,Panipat,Haryana,73.6,2554.0,5969.38013963039,1306.591934291581,90.02473921971253,88.17999999999999,2.8,82.026,5.64,34.464,25.225,24.759999999999998,9.775,4.41,0.15000000000000002,1.1372,0.406
525,2008,Panipat,Haryana,77.7,2175.0,5763.246726899384,1277.1773963039016,67.37403696098562,117.66600000000001,2.875,97.258,10.395,33.664,26.560000000000002,24.574,10.565000000000001,15.112,0.13,1.0558,0.35
525,2009,Panipat,Haryana,77.0,2662.0,5772.2868172484605,1524.9984394250512,166.11129363449692,95.52399999999999,7.545,85.80600000000001,13.815,34.742000000000004,24.935,24.896,10.64,5.582,0.37,1.2132,0.34950000000000003
525,2010,Panipat,Haryana,76.9,2263.0,6224.466012320328,1706.3083613963038,172.3381108829569,156.128,15.685,92.77199999999999,22.67,33.814,25.259999999999998,25.04,9.765,58.288,0.78,1.0332,0.2875
525,2011,Panipat,Haryana,76.0,2645.0,6513.271786447639,1761.152525667351,188.14915811088298,126.00800000000001,2.3049999999999997,100.328,9.915,33.61,26.4,24.802,10.855,20.746,0.1,1.1642,0.277
525,2012,Panipat,Haryana,75.68,2775.0,6880.216430390145,1733.765085831622,30.750633264887064,148.71800000000002,4.9750000000000005,80.68,13.685,34.288,24.125,25.222,10.575,62.45799999999999,0.265,1.2176,0.375
525,2013,Panipat,Haryana,75.0,2560.0,6463.386036960986,1006.5954825462012,74.14373716632444,136.91199999999998,4.605,107.36600000000001,19.215,33.766,24.67,25.176,10.475000000000001,21.174,0.23500000000000001,1.0574,0.41200000000000003
525,2014,Panipat,Haryana,54.0,2444.0,5873.088788501026,905.4835318275153,95.00451745379877,80.262,5.66,75.27,7.35,34.688,24.305,25.258,10.31,4.0120000000000005,0.27,1.1684,0.3745
525,2015,Panipat,Haryana,64.0,2703.0,8031.182587268993,1841.2445174537988,79.3547433264887,94.70400000000001,1.03,83.442,5.47,33.766000000000005,24.950000000000003,25.258,11.355,7.75,0.05,1.1261999999999999,0.369
526,1995,Rewari,Haryana,0.1,0.0,3.2438932238193017,1.0489034907597536,0.011728952772073925,122.888,1.625,91.74,27.945,35.62,25.865000000000002,25.607999999999997,10.125,13.036000000000001,0.055,1.8143999999999998,1.147
526,1996,Rewari,Haryana,0.1,0.0,3.8010184804928127,1.1800164271047229,0.006702258726899384,124.796,0.0,103.08400000000002,22.05,34.693999999999996,26.38,25.163999999999998,8.045,6.332,0.0,1.6204,0.6985
526,1997,Rewari,Haryana,0.2,0.0,9.129314168377823,3.572303901437372,0.02764681724845996,86.92800000000001,13.64,79.766,18.134999999999998,34.2,22.33,23.746000000000002,9.785,4.346,0.6699999999999999,1.3931999999999998,0.6575
526,1998,Rewari,Haryana,1.0,2000.0,44.07154004106776,15.256016427104724,0.1968788501026694,112.43400000000001,5.485,101.16,12.49,34.848,26.47,25.378,9.335,5.619999999999999,0.27,1.3199999999999998,0.562
526,1999,Rewari,Haryana,1.1,1818.0,36.13439014373717,16.412993839835732,0.14744969199178648,66.86800000000001,0.1,64.506,0.7,35.403999999999996,27.64,25.016000000000002,9.855,3.34,0.0,1.38,0.652
526,2000,Rewari,Haryana,0.7,4286.0,21.97419301848049,9.476993839835728,0.18179876796714578,71.568,1.12,65.342,3.09,35.5,27.595,24.833999999999996,9.86,3.5759999999999996,0.05,1.4058,0.7150000000000001
526,2001,Rewari,Haryana,0.7,4286.0,20.983096509240248,13.807909650924024,0.09676386036960985,74.354,0.105,70.58,0.855,34.818,26.39,25.246000000000002,11.295,3.7120000000000006,0.0,1.2518,0.538
526,2002,Rewari,Haryana,0.3,0.0,9.925207392197125,5.54947022587269,0.08168377823408625,50.774,7.095,47.712,7.46,35.260000000000005,26.439999999999998,26.05,11.344999999999999,2.54,0.355,1.4574,0.5115000000000001
526,2003,Rewari,Haryana,0.6,5000.0,19.60662012320329,9.22147022587269,0.2915482546201232,131.386,8.79,97.86,28.849999999999998,34.96,25.685,25.008,9.54,11.986,0.43,1.1580000000000001,0.5589999999999999
526,2004,Rewari,Haryana,0.48,6250.0,16.586079671457906,7.899952361396303,0.24731334702258725,67.74600000000001,0.565,59.734,9.16,35.116,27.57,24.962,9.925,3.3899999999999997,0.005,1.2772000000000001,0.52
526,2005,Rewari,Haryana,0.6,5000.0,23.690809034907602,11.108993839835728,0.6283367556468172,86.236,0.125,78.734,4.6899999999999995,35.333999999999996,25.810000000000002,25.462,9.52,4.316000000000001,0.0,1.4529999999999998,0.71
526,2006,Rewari,Haryana,0.8,3750.0,34.04747433264887,19.701289527720743,0.4658069815195071,90.84200000000001,3.165,83.576,6.404999999999999,34.68599999999999,25.89,25.534,11.205,4.544,0.16999999999999998,1.4798,0.6545000000000001
526,2007,Rewari,Haryana,0.8,3750.0,43.17930184804928,21.44722792607803,1.816312114989733,79.726,1.68,75.042,2.945,35.374,26.54,25.564,9.895,3.978,0.1,1.4332,0.635
526,2008,Rewari,Haryana,2.0,2500.0,128.24772073921972,73.02948665297741,1.2566735112936345,96.352,4.68,82.686,14.84,34.59400000000001,27.805,25.402,10.615,4.819999999999999,0.225,1.3192,0.5349999999999999
526,2009,Rewari,Haryana,2.1,2381.0,137.26393429158108,79.41673921971254,16.256328542094455,81.8,5.83,78.72,6.3,35.854,26.200000000000003,25.898000000000003,10.71,4.086,0.3,1.5346,0.5805
526,2010,Rewari,Haryana,2.7,2963.0,167.0156796714579,88.17324024640656,8.459926078028749,141.20800000000003,16.65,95.55199999999999,35.985,34.838,26.39,25.964,9.7,19.578,0.835,1.1826,0.47250000000000003
526,2011,Rewari,Haryana,3.3,2727.0,218.20250513347023,110.6702094455852,8.169634496919917,103.69599999999998,0.905,92.02799999999999,14.099999999999998,34.522000000000006,27.52,25.606,10.780000000000001,5.183999999999999,0.035,1.3348,0.5025000000000001
526,2012,Rewari,Haryana,2.01,3483.0,165.91043531827515,78.4464616016427,5.607528542094456,130.29999999999998,3.6950000000000003,79.69399999999999,29.17,35.186,25.295,26.014,10.555,26.286,0.165,1.4460000000000002,0.5525
526,2013,Rewari,Haryana,2.0,3500.0,125.54168377823409,21.438850102669406,2.3206570841889116,123.28400000000002,4.37,102.376,24.695,34.544000000000004,25.810000000000002,25.862000000000002,10.420000000000002,6.304,0.20500000000000002,1.3044,0.5885
526,2014,Rewari,Haryana,2.0,3000.0,142.18841889117044,43.76574948665298,5.22776180698152,67.508,3.21,65.976,4.035,35.676,25.5,26.142000000000003,10.305,3.3779999999999992,0.155,1.4058,0.5175000000000001
526,2015,Rewari,Haryana,2.0,3000.0,121.80517453798767,45.10620123203286,1.239917864476386,81.518,1.115,72.318,5.955,34.767999999999994,26.145,26.142000000000003,11.350000000000001,4.077999999999999,0.055,1.326,0.5325
