"Dist Code","Year","State Code","State Name","Dist Name","JUNE ACTUAL (Millimeters)","JULY ACTUAL (Millimeters)","AUGUST ACTUAL (Millimeters)","SEPTEMBER ACTUAL (Millimeters)","OCTOBER ACTUAL (Millimeters)","NOVEMBER ACTUAL (Millimeters)","DECEMBER ACTUAL (Millimeters)"
"6","1969","14","Chhattisgarh","Surguja","113.4","104.17","102.09","104.5","69.04","49.02","31.64"
"6","1970","14","Chhattisgarh","Surguja","152.76","106.09","101.17","104.64","79.83","45.69","32.85"
"6","1971","14","Chhattisgarh","Surguja","150.22","104.54","101.51","105.28","104.83","49.6","38.87"
"6","1972","14","Chhattisgarh","Surguja","70.56","108.51","103.22","107.39","100.69","54.31","41.7"
"6","1973","14","Chhattisgarh","Surguja","135.3","106.0","101.58","104.76","105.22","51.66","40.44"
"6","1974","14","Chhattisgarh","Surguja","96.41","106.71","102.01","105.7","100.33","51.45","37.95"
"6","1975","14","Chhattisgarh","Surguja","157.52","104.74","102.39","103.69","95.35","49.81","36.27"
"6","1976","14","Chhattisgarh","Surguja","83.58","105.56","102.11","106.81","70.77","45.72","32.01"
"6","1977","14","Chhattisgarh","Surguja","159.13","106.25","101.95","104.89","89.93","56.6","39.17"
"6","1978","14","Chhattisgarh","Surguja","156.95","104.74","100.62","104.73","84.57","49.58","42.4"
"6","1979","14","Chhattisgarh","Surguja","160.66","108.52","102.49","106.45","76.7","53.41","36.73"
"6","1980","14","Chhattisgarh","Surguja","152.58","105.45","101.81","105.27","73.74","45.09","34.55"
"6","1981","14","Chhattisgarh","Surguja","110.4","105.97","103.15","105.84","69.0","43.55","33.96"
"6","1982","14","Chhattisgarh","Surguja","144.31","109.69","100.7","106.73","83.73","50.62","37.11"
"6","1983","14","Chhattisgarh","Surguja","121.85","107.94","103.82","104.59","103.61","51.97","41.52"
